Date,Time,local pressure,Sea-level pressure,Precipitation,Temperature,Relative humidity,Average wind speed,Wind direction of the average wind speed,Maximum wind speed moment,Wind direction of the maximum wind speed moment,Minutes of sunlight
2015-01-01,00:10:00,994.8,1000.2,0.0,0.6,91,6.8,ñk,10.4,ñk,
2015-01-01,00:20:00,994.6,1000.0,0.0,0.7,88,6.4,ñk,8.6,ñkñkêº,
2015-01-01,00:30:00,994.3,999.7,0.0,0.7,85,7.6,ñk,11.3,ñk,
2015-01-01,00:40:00,994.3,999.7,0.0,0.8,82,8.1,ñk,13.1,ñkñkêº,
2015-01-01,00:50:00,994.6,1000.0,0.0,0.9,80,8.6,ñk,13.6,ñk,
2015-01-01,01:00:00,994.6,1000.0,0.0,0.9,80,8.4,ñk,12.6,ñkñkêº,
2015-01-01,01:10:00,994.9,1000.3,--,0.9,81,5.7,ñkñkêº,10.1,ñkñkêº,
2015-01-01,01:20:00,995.0,1000.4,--,1.0,80,4.3,ñkñkêº,9.0,ñkñkêº,
2015-01-01,01:30:00,995.0,1000.4,--,1.0,79,3.8,ñkñkêº,6.4,ñkñkêº,
2015-01-01,01:40:00,995.1,1000.5,--,0.9,78,4.5,ñkñkêº,6.7,ñkñkêº,
2015-01-01,01:50:00,995.0,1000.4,--,1.0,77,4.2,ñkñkêº,7.4,ñkñkêº,
2015-01-01,02:00:00,994.9,1000.3,--,0.9,74,5.3,ñkñkêº,7.4,ñkñkêº,
2015-01-01,02:10:00,994.9,1000.3,--,0.8,74,5.5,ñkñkêº,7.9,ñkñkêº,
2015-01-01,02:20:00,994.9,1000.3,--,0.7,74,4.0,ñkñkêº,7.4,ñkêº,
2015-01-01,02:30:00,994.8,1000.2,--,0.7,71,3.7,ñkñkêº,5.8,ñkñkêº,
2015-01-01,02:40:00,994.9,1000.3,--,0.6,70,4.6,ñkñkêº,7.5,ñkñkêº,
2015-01-01,02:50:00,994.9,1000.3,--,0.5,71,4.5,ñkñkêº,6.7,ñkñkêº,
2015-01-01,03:00:00,994.9,1000.3,--,0.4,73,3.8,ñkñkêº,5.2,ñkñkêº,
2015-01-01,03:10:00,994.8,1000.2,--,0.3,74,2.8,ñk,4.9,ñk,
2015-01-01,03:20:00,994.7,1000.1,--,0.2,74,3.6,ñk,4.9,ñk,
2015-01-01,03:30:00,994.6,1000.0,--,0.2,75,3.0,ñk,5.4,ñkêº,
2015-01-01,03:40:00,994.4,999.8,--,0.3,74,3.2,ñk,5.7,ñk,
2015-01-01,03:50:00,994.5,999.9,--,0.1,74,3.3,ñk,4.8,ñk,
2015-01-01,04:00:00,994.4,999.8,--,0.1,76,2.5,ñk,3.3,ñk,
2015-01-01,04:10:00,994.4,999.8,--,0.0,76,2.6,ñkñkêº,3.5,ñk,
2015-01-01,04:20:00,994.3,999.7,--,0.0,75,2.9,ñkñkêº,4.7,ñkñkêº,
2015-01-01,04:30:00,994.2,999.6,--,0.0,74,3.0,ñkñkêº,4.3,ñkñkêº,
2015-01-01,04:40:00,994.3,999.7,--,-0.1,75,2.9,ñk,4.8,ñkñkìå,
2015-01-01,04:50:00,994.6,1000.1,--,-0.2,78,2.3,ñkñkìå,3.2,ìåñkìå,
2015-01-01,05:00:00,994.8,1000.3,--,-0.6,84,1.5,ñkêº,2.7,êºñkêº,
2015-01-01,05:10:00,994.6,1000.1,--,-0.2,77,2.0,ñkêº,3.1,êºñkêº,
2015-01-01,05:20:00,994.9,1000.4,--,-0.5,78,2.6,êºñkêº,4.3,êº,
2015-01-01,05:30:00,995.1,1000.5,--,0.2,71,3.6,êº,6.2,êºñkêº,
2015-01-01,05:40:00,995.3,1000.7,--,0.6,65,6.8,êºñkêº,15.6,êºñkêº,
2015-01-01,05:50:00,995.5,1000.9,--,0.4,66,7.6,êºñkêº,12.8,êºñkêº,
2015-01-01,06:00:00,995.6,1001.0,--,0.3,66,6.3,êºñkêº,10.8,êº,
2015-01-01,06:10:00,995.6,1001.1,--,0.1,67,5.0,êºñkêº,8.2,êºñkêº,
2015-01-01,06:20:00,995.8,1001.2,--,0.2,64,6.8,êºñkêº,10.0,êºñkêº,
2015-01-01,06:30:00,995.8,1001.2,--,0.3,63,6.5,êºñkêº,9.9,ñkêº,
2015-01-01,06:40:00,995.8,1001.2,--,0.3,61,5.3,êºñkêº,8.5,êº,
2015-01-01,06:50:00,995.8,1001.2,--,0.3,60,4.2,êºñkêº,6.6,êº,
2015-01-01,07:00:00,995.9,1001.4,--,-0.2,63,3.7,êº,6.1,êº,0
2015-01-01,07:10:00,995.8,1001.2,--,0.3,57,4.4,êºñkêº,6.9,êºñkêº,6
2015-01-01,07:20:00,995.9,1001.4,--,-0.1,60,2.9,êºñkêº,5.3,êºñkêº,10
2015-01-01,07:30:00,995.9,1001.4,--,0.1,62,3.4,êº,6.0,êº,10
2015-01-01,07:40:00,995.9,1001.4,--,0.0,60,3.6,êº,7.1,êº,10
2015-01-01,07:50:00,996.0,1001.4,--,0.4,54,4.6,êº,8.4,êºñkêº,10
2015-01-01,08:00:00,996.1,1001.5,--,0.4,54,5.0,êº,8.0,êºñkêº,10
2015-01-01,08:10:00,996.1,1001.5,--,0.6,53,4.4,êº,7.1,êº,10
2015-01-01,08:20:00,996.2,1001.6,0.0,0.7,57,4.7,êº,7.3,êºìÏêº,10
2015-01-01,08:30:00,996.3,1001.7,--,0.8,56,4.8,êº,8.1,êº,10
2015-01-01,08:40:00,996.5,1001.9,--,0.8,56,4.6,êº,8.5,êº,10
2015-01-01,08:50:00,996.5,1001.9,--,1.0,55,4.1,êº,6.9,êºñkêº,10
2015-01-01,09:00:00,996.4,1001.8,--,1.1,53,4.5,êº,7.2,êºñkêº,10
2015-01-01,09:10:00,996.5,1001.9,--,1.3,56,3.4,êº,6.7,êºìÏêº,10
2015-01-01,09:20:00,996.6,1002.0,--,1.5,54,3.2,êº,7.1,êºìÏêº,10
2015-01-01,09:30:00,996.7,1002.1,--,1.6,50,4.1,êºñkêº,6.8,êºñkêº,10
2015-01-01,09:40:00,996.5,1001.9,0.0,1.6,52,3.5,êº,6.0,êºñkêº,7
2015-01-01,09:50:00,996.7,1002.1,--,1.8,52,3.3,êºìÏêº,6.0,ìÏêº,10
2015-01-01,10:00:00,996.7,1002.1,--,1.9,51,3.1,êºìÏêº,9.2,êº,10
2015-01-01,10:10:00,996.6,1002.0,--,1.8,50,4.0,êº,7.7,êºìÏêº,10
2015-01-01,10:20:00,996.5,1001.9,--,2.1,49,3.2,êº,5.6,êºñkêº,10
2015-01-01,10:30:00,996.4,1001.8,--,2.1,46,2.8,êº,7.4,êºìÏêº,10
2015-01-01,10:40:00,996.4,1001.8,--,2.2,50,3.7,êº,7.5,êºñkêº,7
2015-01-01,10:50:00,996.2,1001.6,--,1.6,48,4.1,êº,7.2,êº,1
2015-01-01,11:00:00,996.0,1001.4,--,2.1,45,4.1,êº,7.9,êºìÏêº,9
2015-01-01,11:10:00,995.8,1001.2,0.0,2.0,45,4.6,êº,8.4,êº,9
2015-01-01,11:20:00,995.6,1001.0,--,2.3,44,3.5,êº,6.0,êºìÏêº,8
2015-01-01,11:30:00,995.6,1001.0,--,2.4,48,4.5,êº,7.1,êº,6
2015-01-01,11:40:00,995.5,1000.9,--,2.6,47,4.9,êºìÏêº,8.8,êºìÏêº,10
2015-01-01,11:50:00,995.5,1000.9,--,2.8,48,4.6,êºìÏêº,9.0,êº,9
2015-01-01,12:00:00,995.3,1000.7,--,2.5,48,5.3,êºìÏêº,9.1,êº,9
